contributor,role,level,region,currency,base_minor,effective_at
acme,Backend Engineer,L4,EU,EUR,720000,1755000000
acme,Backend Engineer,L4,EU,EUR,745000,1755000000
acme,Backend Engineer,L4,EU,EUR,690000,1755000000
borealis,Backend Engineer,L4,EU,EUR,802000,1754000000
borealis,Backend Engineer,L4,EU,EUR,777500,1754000000
borealis,Backend Engineer,L4,EU,EUR,791000,1754000000
cinder,Backend Engineer,L4,EU,EUR,715000,1753000000
cinder,Backend Engineer,L4,EU,EUR,738000,1753000000
delta,Backend Engineer,L4,EU,EUR,690000,1752000000
delta,Backend Engineer,L4,EU,EUR,706000,1752000000
evergreen,Backend Engineer,L4,EU,EUR,812000,1751000000
evergreen,Backend Engineer,L4,EU,EUR,758000,1751000000
acme,Data Scientist,L5,EU,EUR,980000,1755000000
acme,Data Scientist,L5,EU,EUR,1020000,1755000000
acme,Data Scientist,L5,EU,EUR,1005000,1755000000
acme,Data Scientist,L5,EU,EUR,1064000,1755000000
acme,Data Scientist,L5,EU,EUR,995000,1755000000
acme,Data Scientist,L5,EU,EUR,1042000,1755000000
borealis,Data Scientist,L5,EU,EUR,1110000,1754000000
cinder,Data Scientist,L5,EU,EUR,988000,1753000000
delta,Data Scientist,L5,EU,EUR,1035000,1752000000
evergreen,Data Scientist,L5,EU,EUR,1078000,1751000000
acme,Engineering Manager,M2,EU,EUR,1250000,1755000000
borealis,Engineering Manager,M2,EU,EUR,1310000,1754000000
cinder,Engineering Manager,M2,EU,EUR,1288000,1753000000
acme,Product Designer,L4,EU,EUR,640000,1900000000
borealis,Product Designer,L4,EU,EUR,668000,1900000000
cinder,Product Designer,L4,EU,EUR,655000,1900000000
delta,Product Designer,L4,EU,EUR,690000,1900000000
evergreen,Product Designer,L4,EU,EUR,672000,1900000000
